id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
1,1570.53,100.32,0.52,-0.26,-0.51,25,0.00,1171.00,13.17,-2.80
2,2096.68,104.21,0.71,0.25,-0.42,25,0.00,102.11,1.00,-0.00
3,2989.59,106.84,0.55,-0.44,-0.89,25,0.00,41.01,1.01,-0.01
4,761.16,154.00,0.56,0.22,-0.66,25,0.00,117.87,1.21,-0.20
5,1709.73,156.34,0.48,-0.13,-0.43,25,0.00,165.47,1.98,-0.74
6,3043.05,160.22,0.50,-0.16,-0.41,25,0.00,3818.96,45.25,-4.14
7,1660.60,193.30,0.48,0.35,-0.19,25,0.00,172.43,2.12,-0.82
8,295.93,221.85,0.47,0.09,-0.61,25,0.00,1841.91,20.05,-3.26
9,400.96,287.71,0.29,0.46,-0.43,25,0.00,166.58,1.90,-0.70
10,3023.86,289.03,0.52,0.77,0.91,25,0.00,34.95,1.03,-0.04
11,146.16,327.84,0.82,0.05,-0.12,25,0.00,87.05,1.19,-0.19
12,1457.99,332.10,0.76,0.05,-0.29,25,0.00,60.89,1.05,-0.05
13,1822.44,383.70,0.40,0.30,-0.33,25,0.00,366.11,4.74,-1.69
14,1514.40,422.89,0.51,0.03,-0.56,25,0.00,610.19,6.81,-2.08
15,865.32,432.23,0.51,-0.20,-0.49,25,0.00,5831.69,61.19,-4.47
16,1580.80,467.03,0.46,-0.18,-0.42,25,0.00,207.55,2.76,-1.10
17,708.20,468.47,0.52,0.16,-0.26,25,0.00,288.21,3.06,-1.21
18,1098.50,494.64,0.51,0.17,-0.43,25,0.00,3865.54,42.23,-4.06
19,2685.00,494.61,0.42,-0.54,-0.59,25,0.00,631.66,7.33,-2.16
20,1790.82,576.10,0.94,-0.15,-0.30,25,0.00,69.11,1.00,-0.00
21,56.46,613.05,0.70,0.44,-0.67,25,0.00,156.78,1.32,-0.30
22,57.99,613.37,0.54,-0.02,-0.52,25,0.00,210.43,2.04,-0.77
23,1691.30,623.10,0.55,0.13,-0.52,25,0.00,249.43,3.00,-1.19
24,751.63,630.44,0.44,0.21,-0.20,25,0.00,204.44,2.42,-0.96
25,1233.55,647.78,0.38,0.66,0.58,25,0.00,22.36,1.00,-0.00
26,915.24,661.95,0.45,-0.43,-0.63,25,0.00,219.28,2.37,-0.94
27,2281.02,680.64,0.50,-0.05,-0.31,25,0.00,301.98,3.38,-1.32
28,210.68,729.21,0.47,0.20,-0.83,25,0.00,120.67,1.13,-0.14
29,673.41,761.97,0.90,-0.54,-0.25,25,0.00,73.01,1.16,-0.16
30,2012.85,772.61,0.67,0.50,-0.36,25,0.00,118.49,1.19,-0.19
31,1556.22,781.75,0.55,-0.69,-0.55,25,0.00,73.30,1.36,-0.33
32,399.09,789.75,0.55,0.50,-0.81,25,0.00,748.06,6.83,-2.09
33,399.53,789.93,0.51,-0.06,-0.46,25,0.00,1086.48,10.72,-2.58
34,2529.83,817.63,0.50,-0.31,-0.47,25,0.00,446.39,5.07,-1.76
35,1395.11,833.99,0.33,0.59,-0.13,25,0.00,75.30,1.08,-0.09
36,2608.89,836.71,0.36,0.25,0.88,25,0.00,14.08,1.00,-0.00
37,2833.76,836.15,0.71,-0.04,0.07,25,0.00,508.65,7.98,-2.25
38,2833.04,849.54,0.73,-0.08,0.33,25,0.00,191.10,2.80,-1.12
39,1969.42,932.22,0.66,-0.11,-0.43,25,0.00,141.97,1.28,-0.27
40,1808.96,942.25,0.47,-0.24,-0.32,25,0.00,672.18,8.35,-2.30
41,1799.52,952.18,0.46,-0.28,-0.54,25,0.00,2360.67,27.30,-3.59
42,234.44,963.64,0.27,0.01,-0.64,25,0.00,78.06,1.04,-0.04
43,585.80,1099.06,0.96,-0.04,0.05,25,0.00,191.39,2.36,-0.93
44,334.54,1221.34,0.85,0.15,0.02,25,0.00,122.78,1.70,-0.58
45,1931.94,1302.17,0.44,-0.19,-0.32,25,0.00,31928.99,361.59,-6.40
46,1464.67,1329.08,0.46,-0.23,-0.63,25,0.00,246.19,2.90,-1.16
47,2518.13,1355.58,0.40,-0.36,-0.30,25,0.00,218.90,2.34,-0.92
48,2925.73,1354.94,0.59,-0.45,-0.53,25,0.00,388.96,4.12,-1.54
49,1266.28,1358.07,0.46,-0.14,-0.41,25,0.00,1371.69,15.59,-2.98
50,1756.06,1364.66,0.49,-0.04,-0.29,25,0.00,176.22,2.11,-0.81
51,59.32,1417.80,0.60,0.29,-0.86,25,0.00,39.85,1.06,-0.07
52,1705.58,1452.30,0.47,-0.20,-0.17,25,0.00,317.04,3.52,-1.37
53,2626.53,1497.39,0.57,0.46,0.06,25,0.00,160.38,2.75,-1.10
54,1524.30,1521.62,0.45,-0.16,-0.31,25,0.00,8701.83,102.93,-5.03
55,861.96,1531.56,0.45,-0.08,-0.56,25,0.00,124.40,1.43,-0.39
56,2046.14,1626.64,0.50,-0.25,-0.39,25,0.00,513.57,5.33,-1.82
57,2605.74,1721.68,0.52,-0.86,-0.45,25,0.00,98.06,1.91,-0.70
58,942.22,1727.76,0.35,0.22,-0.29,25,0.00,82.68,1.10,-0.10
59,1907.44,1784.29,0.56,0.16,-0.39,25,0.00,166.51,2.01,-0.76
60,1065.32,1792.35,0.47,-0.05,-0.43,25,0.00,286.49,2.87,-1.14
61,104.27,1860.13,0.68,-0.25,0.16,25,0.00,47.70,1.02,-0.02
62,2217.98,1984.81,0.45,-0.09,-0.19,25,0.00,366.16,4.18,-1.55
63,1303.94,2047.73,0.41,0.04,-0.23,25,0.00,259.97,2.54,-1.01
64,1961.81,2060.98,0.49,-0.30,-0.24,25,0.00,180.24,2.13,-0.82
65,485.39,2092.14,0.98,0.29,-0.00,25,0.00,521.81,6.57,-2.04
66,2580.03,2156.99,0.53,0.10,0.07,25,0.00,90.64,1.10,-0.10
67,2060.68,2190.47,0.40,-0.29,-0.47,25,0.00,180.24,2.17,-0.84
68,1878.10,2233.00,0.46,-0.06,-0.25,25,0.00,780.32,8.64,-2.34
69,726.53,2240.93,0.45,-0.07,-0.34,25,0.00,1277.56,13.49,-2.82
70,445.63,2249.86,0.45,-0.09,-0.22,25,0.00,1006.81,9.58,-2.45
71,2144.72,2286.63,0.56,-0.06,-0.17,25,0.00,297.13,3.33,-1.31
72,2297.92,2286.69,0.41,-0.30,-0.40,25,0.00,519.61,6.21,-1.98
73,1668.47,2299.65,0.36,-0.25,-0.40,25,0.00,154.35,1.85,-0.67
74,3035.82,2299.28,0.50,-0.44,-0.37,25,0.00,1529.29,16.92,-3.07
75,2639.49,2332.07,0.53,-0.40,-0.97,25,0.00,63241.88,631.74,-7.00
76,2638.89,2332.02,0.34,-0.08,-0.29,25,0.00,62612.40,635.64,-7.01
77,2245.03,2421.09,0.43,0.17,-0.73,25,0.00,89.73,1.06,-0.06
78,651.95,2436.66,0.41,-0.36,-0.25,25,0.00,2726.51,25.05,-3.50
79,146.22,2513.92,0.55,0.32,0.81,25,0.00,33.32,1.18,-0.18
80,2694.28,2556.44,0.33,-0.06,-0.15,25,0.00,126.24,1.71,-0.58
81,3035.32,2588.20,0.51,-0.43,-0.38,25,0.00,2218.00,23.81,-3.44
82,504.43,2597.66,0.39,-0.55,-0.63,25,0.00,115.82,1.45,-0.40
83,264.09,2602.34,0.38,0.08,-0.46,25,0.00,433.55,4.24,-1.57
84,311.87,2649.73,0.40,-0.55,-0.84,25,0.00,581.98,5.35,-1.82
85,1688.59,2655.45,0.48,0.08,-0.31,25,0.00,168.43,1.80,-0.64
86,2789.03,2661.72,0.41,-0.43,-0.34,25,0.00,618.01,6.73,-2.07
87,419.44,2689.37,0.37,-0.31,-0.94,25,0.00,172.74,1.78,-0.63
88,56.93,2704.44,0.90,0.54,0.39,25,0.00,164.08,2.17,-0.84
89,158.74,2709.30,0.42,-0.28,-0.05,25,0.00,88.94,1.01,-0.01
90,2905.62,2779.91,0.52,-0.35,-0.35,25,0.00,1659.16,17.89,-3.13
91,707.79,2816.87,0.35,-0.14,-0.44,25,0.00,80.48,3.32,-1.30
92,613.23,2861.98,0.57,-0.48,-0.52,25,0.00,252.53,2.26,-0.88
93,708.00,2893.93,0.20,0.46,0.33,25,0.00,65.59,3.59,-1.39
94,707.64,2896.39,0.35,-0.60,-0.98,25,0.00,53.37,2.65,-1.06
95,708.01,2925.12,0.94,0.28,-0.14,25,0.00,219.16,3.26,-1.28
96,488.84,2947.05,0.77,-0.45,-0.44,25,0.00,128.30,1.09,-0.10
97,708.02,2948.71,0.97,-0.17,-0.10,25,0.00,327.99,4.71,-1.68
98,708.01,2957.40,0.96,0.46,0.50,25,0.00,337.67,4.47,-1.63
99,708.12,2978.37,0.41,0.02,-0.56,25,0.00,108.42,4.03,-1.51
100,1329.74,2979.26,0.45,0.07,-0.03,25,0.00,168.35,1.93,-0.72
101,708.03,2983.36,0.41,-0.32,-0.66,25,0.00,155.28,5.82,-1.91
102,1428.73,2995.34,0.47,-0.45,-0.19,25,0.00,1458.36,15.79,-3.00
103,708.17,3001.27,0.87,-0.21,-0.38,25,0.00,152.43,2.56,-1.02
104,778.95,3011.26,0.43,-0.50,-0.29,25,0.00,13075.42,123.73,-5.23
105,708.06,3013.40,0.24,-0.13,-0.23,25,0.00,44.17,2.83,-1.13
106,1158.28,3020.17,0.51,-0.10,-0.24,25,0.00,232.27,2.41,-0.96
107,1914.11,3022.70,0.33,-0.13,-0.07,25,0.00,100.03,1.25,-0.24
108,708.02,3027.23,0.53,-0.08,0.34,25,0.00,88.10,2.24,-0.87
109,707.93,3038.86,0.82,-0.35,-0.99,25,0.00,209.95,3.80,-1.45
